date,generacion_total_programada_redespacho,generacion_total_programada_despacho,generacion_total_real,importacion_programada_redespacho,importacion__real,exportacion_programada_redespacho,exportacion__real,disponibilidad_real,demanda_no_atendida,costo_marginal_promedio_redespacho,aportes_hidricos,volumen_util_diario,volumen,id
"'2013-10-01 00:00:00'",178.25,ND,171.61,ND,ND,ND,ND,11835.32,305.11,147.44,142.77,9520.17,10658.53,1
"'2013-10-02 00:00:00'",180.02,ND,175.39,ND,ND,ND,ND,11800.91,167.89,160.8,134.89,9483.4,10621.76,2
"'2013-10-03 00:00:00'",177.47,ND,178.08,ND,ND,ND,ND,11867.83,762.85,177.83,156.98,9488.42,10626.78,3
"'2013-10-04 00:00:00'",176.78,ND,171.71,ND,ND,ND,ND,12187.11,14084.9,234.88,334.12,9674.33,10812.69,4
"'2013-10-05 00:00:00'",164.68,ND,163.28,ND,ND,ND,ND,12007.72,541.86,165.3,168.85,9726.04,10864.4,5
"'2013-10-06 00:00:00'",149.22,ND,148.71,ND,ND,ND,ND,12025.83,733.59,124.73,118.77,9724.88,10863.24,6
"'2013-10-07 00:00:00'",173.44,ND,172.74,ND,ND,ND,ND,11944.67,624.36,210.56,112.38,9688.39,10826.74,7
"'2013-10-08 00:00:00'",175.55,ND,174.81,ND,ND,ND,ND,11762.86,507.45,168.82,139.85,9687.09,10825.45,8
"'2013-10-09 00:00:00'",177.36,ND,177.52,ND,ND,ND,ND,11718.31,682.08,240.59,110.03,9654.8,10793.16,9
"'2013-10-10 00:00:00'",176.22,ND,178.67,ND,ND,ND,ND,11661.55,303.66,165.36,132.28,9636.41,10774.77,10
"'2013-10-11 00:00:00'",171.53,ND,170.05,ND,ND,ND,ND,12113.57,353.68,168.99,116.14,9613.22,10751.58,11
"'2013-10-12 00:00:00'",164.8,ND,166.01,ND,ND,ND,ND,11733.95,202.25,165.27,120.79,9593.62,10731.98,12
"'2013-10-13 00:00:00'",147.4,ND,145.56,ND,ND,ND,ND,11517.33,368.22,174.51,184.59,9658.37,10796.73,13
