id,date,precio_bolsa_tx1
1,"2013-10-01 00:00:00",146.93
2,"2013-10-02 00:00:00",147.73
3,"2013-10-03 00:00:00",170.11
4,"2013-10-04 00:00:00",155.7
5,"2013-10-05 00:00:00",153.19
6,"2013-10-06 00:00:00",122.29
7,"2013-10-07 00:00:00",171.57
8,"2013-10-08 00:00:00",166.27
9,"2013-10-09 00:00:00",181.93
10,"2013-10-10 00:00:00",161.78
11,"2013-10-11 00:00:00",163.03
12,"2013-10-12 00:00:00",167.3
13,"2013-10-13 00:00:00",172.72
14,"2013-10-14 00:00:00",179.42
15,"2013-10-15 00:00:00",176.27
16,"2013-10-16 00:00:00",193.99
17,"2013-10-17 00:00:00",190.17
18,"2013-10-18 00:00:00",183.66
19,"2013-10-19 00:00:00",184.28
20,"2013-10-20 00:00:00",199.75
21,"2013-10-21 00:00:00",201.37
22,"2013-10-22 00:00:00",258.6
23,"2013-10-23 00:00:00",262.97
24,"2013-10-24 00:00:00",265.95
25,"2013-10-25 00:00:00",268.66
26,"2013-10-26 00:00:00",274.63
27,"2013-10-27 00:00:00",260.13
28,"2013-10-28 00:00:00",291.34
29,"2013-10-29 00:00:00",309.06
30,"2013-10-30 00:00:00",383.17
31,"2013-10-31 00:00:00",382.05
32,"2013-11-01 00:00:00",418.13
33,"2013-11-02 00:00:00",348.36
34,"2013-11-03 00:00:00",275.61
35,"2013-11-04 00:00:00",392
36,"2013-11-05 00:00:00",329.15
37,"2013-11-06 00:00:00",286.53
38,"2013-11-07 00:00:00",225.2
39,"2013-11-08 00:00:00",191.5
40,"2013-11-09 00:00:00",165.33
41,"2013-11-10 00:00:00",154.08
42,"2013-11-11 00:00:00",177.96
43,"2013-11-12 00:00:00",189.85
44,"2013-11-13 00:00:00",181.68
45,"2013-11-14 00:00:00",166.88
46,"2013-11-15 00:00:00",161.08
47,"2013-11-16 00:00:00",152.82
48,"2013-11-17 00:00:00",164.88
49,"2013-11-18 00:00:00",165.26
50,"2013-11-19 00:00:00",173.39
51,"2013-11-20 00:00:00",171.48
52,"2013-11-21 00:00:00",176.58
53,"2013-11-22 00:00:00",172.17
54,"2013-11-23 00:00:00",164.52
55,"2013-11-24 00:00:00",167.19
56,"2013-11-25 00:00:00",168.55
57,"2013-11-26 00:00:00",170.05
58,"2013-11-27 00:00:00",151.19
59,"2013-11-28 00:00:00",173.31
60,"2013-11-29 00:00:00",174.66
61,"2013-11-30 00:00:00",228.7
62,"2013-12-01 00:00:00",182.62
63,"2013-12-02 00:00:00",206.79
64,"2013-12-03 00:00:00",170.46
65,"2013-12-04 00:00:00",167.05
66,"2013-12-05 00:00:00",151.17
67,"2013-12-06 00:00:00",158
68,"2013-12-07 00:00:00",177.44
69,"2013-12-08 00:00:00",174.29
70,"2013-12-09 00:00:00",188.24
71,"2013-12-10 00:00:00",180.8
72,"2013-12-11 00:00:00",176.62
73,"2013-12-12 00:00:00",167.74
74,"2013-12-13 00:00:00",153.61
75,"2013-12-14 00:00:00",171.43
76,"2013-12-15 00:00:00",177.2
77,"2013-12-16 00:00:00",178.57
78,"2013-12-17 00:00:00",185.61
79,"2013-12-18 00:00:00",191.53
80,"2013-12-19 00:00:00",171.73
81,"2013-12-20 00:00:00",163.35
82,"2013-12-21 00:00:00",161.38
83,"2013-12-22 00:00:00",165.19
84,"2013-12-23 00:00:00",157.84
85,"2013-12-24 00:00:00",151.36
86,"2013-12-25 00:00:00",102.33
87,"2013-12-26 00:00:00",109.36
88,"2013-12-27 00:00:00",101.33
89,"2013-12-28 00:00:00",107.97
90,"2013-12-29 00:00:00",149.88
91,"2013-12-30 00:00:00",163.98
92,"2013-12-31 00:00:00",173.81
93,"2014-01-01 00:00:00",145.53
94,"2014-01-02 00:00:00",145.84
95,"2014-01-03 00:00:00",162.35
96,"2014-01-04 00:00:00",155.2
97,"2014-01-05 00:00:00",167.34
98,"2014-01-06 00:00:00",183.87
99,"2014-01-07 00:00:00",168.6
100,"2014-01-08 00:00:00",161.62
101,"2014-01-09 00:00:00",158.35
102,"2014-01-10 00:00:00",157.93
103,"2014-01-11 00:00:00",136.48
104,"2014-01-12 00:00:00",109.33
105,"2014-01-13 00:00:00",153.43
106,"2014-01-14 00:00:00",147.62
107,"2014-01-15 00:00:00",147.32
108,"2014-01-16 00:00:00",146.78
109,"2014-01-17 00:00:00",150.26
110,"2014-01-18 00:00:00",156.67
111,"2014-01-19 00:00:00",156.27
112,"2014-01-20 00:00:00",163.88
113,"2014-01-21 00:00:00",155.03
114,"2014-01-22 00:00:00",156.37
115,"2014-01-23 00:00:00",160.29
116,"2014-01-24 00:00:00",156.94
117,"2014-01-25 00:00:00",152.84
118,"2014-01-26 00:00:00",163.25
119,"2014-01-27 00:00:00",163.88
120,"2014-01-28 00:00:00",166.94
121,"2014-01-29 00:00:00",176.47
122,"2014-01-30 00:00:00",172.8
123,"2014-01-31 00:00:00",186.71
124,"2014-02-01 00:00:00",177.43
125,"2014-02-02 00:00:00",189.69
126,"2014-02-03 00:00:00",190.33
127,"2014-02-04 00:00:00",192.56
128,"2014-02-05 00:00:00",209.4
129,"2014-02-06 00:00:00",206.9
130,"2014-02-07 00:00:00",201.2
131,"2014-02-08 00:00:00",198.39
132,"2014-02-09 00:00:00",188.92
133,"2014-02-10 00:00:00",188.65
134,"2014-02-11 00:00:00",210.77
135,"2014-02-12 00:00:00",187.11
136,"2014-02-13 00:00:00",184.57
137,"2014-02-14 00:00:00",184.59
138,"2014-02-15 00:00:00",200.18
139,"2014-02-16 00:00:00",197.34
140,"2014-02-17 00:00:00",191.93
141,"2014-02-18 00:00:00",187.65
142,"2014-02-19 00:00:00",185.13
143,"2014-02-20 00:00:00",188.46
144,"2014-02-21 00:00:00",169.92
145,"2014-02-22 00:00:00",180.41
146,"2014-02-23 00:00:00",166.33
147,"2014-02-24 00:00:00",163.81
148,"2014-02-25 00:00:00",166.33
149,"2014-02-26 00:00:00",167.21
150,"2014-02-27 00:00:00",165.57
151,"2014-02-28 00:00:00",154.84
152,"2014-03-01 00:00:00",149.57
153,"2014-03-02 00:00:00",144.45
154,"2014-03-03 00:00:00",165.94
155,"2014-03-04 00:00:00",163.03
156,"2014-03-05 00:00:00",159.44
157,"2014-03-06 00:00:00",154.67
158,"2014-03-07 00:00:00",145.06
159,"2014-03-08 00:00:00",142.57
160,"2014-03-09 00:00:00",134.61
161,"2014-03-10 00:00:00",135.32
162,"2014-03-11 00:00:00",161.66
163,"2014-03-12 00:00:00",152.26
164,"2014-03-13 00:00:00",142.61
165,"2014-03-14 00:00:00",141.41
166,"2014-03-15 00:00:00",148.54
167,"2014-03-16 00:00:00",127.95
168,"2014-03-17 00:00:00",147.45
169,"2014-03-18 00:00:00",139.07
170,"2014-03-19 00:00:00",141.15
171,"2014-03-20 00:00:00",133.85
172,"2014-03-21 00:00:00",159.5
173,"2014-03-22 00:00:00",170.11
174,"2014-03-23 00:00:00",179.76
175,"2014-03-24 00:00:00",165.53
176,"2014-03-25 00:00:00",155.6
177,"2014-03-26 00:00:00",177.14
178,"2014-03-27 00:00:00",155.21
179,"2014-03-28 00:00:00",157.01
180,"2014-03-29 00:00:00",139.27
181,"2014-03-30 00:00:00",140.72
182,"2014-03-31 00:00:00",145.37
183,"2014-04-01 00:00:00",151.69
184,"2014-04-02 00:00:00",177.7
185,"2014-04-03 00:00:00",215.3
186,"2014-04-04 00:00:00",283.27
